"Company","Exchange","Ticker","Industry","Year Founded","Locations","Nb of Employees","Credit Rating FCLT","Credit Rating LCLT","Type","NOSH","Price (USD)","TEV (USDmm)","Total Revenue (USDmm)","Gross Profit (USDmm)","EBITDA (USDmm)","EBIT (USDmm)","Net Income (USDmm)","Cash And Equivalents (USDmm)","Net PP&E (USDmm)","Total Assets (USDmm)","Total Debt (USDmm)","Total Equity (USDmm)","Basic EPS (USD)","EPS Est (USD)","Nb EPS Est","EBITDA Est (USDmm)","Nb EBITDA Est","EBIT Est (USDmm)","Nb EBIT Est"
"RELX PLC ","LSE","REL","Industrials",1903,"EU",33000,"BBB+","BBB+","Public Company",1914.5,28.17,61953.8,9808.8,6104.9,2963.7,2543.3,1905.3,153,395.4,18764.6,8360,4365.5,0.989,1.26,16,3857.5,14,3355.56,13
"China Railway Group Limited ","SHSE","601390","Industrials",1950,"APAC",294013,"BBB+","BBB+","Public Company",24741.7,0.822,61545.3,168950,17350.4,8252.9,6700.8,4529.9,28163.7,11963.4,214357.3,45834.8,56408.8,0.173,0.187,12,8766.5,7,6853.19,9
"Edison International ","NYSE","EIX","Utilities",1886,"US/CA",13003,"BBB","BBB","Public Company",381.4,70.09,61544.6,14905,9111,5534,3431,507,390,52509,74745,29533,17789,1.33,4.58,16,6124.4,5,3408.44,9
"Simon Property Group, Inc. ","NYSE","SPG","Real Estate",1960,"US/CA",2850,"A-","A-","Public Investment Firm",327.4,108.24,61347.9,5114.7,4197,3706.5,2448.9,2109.9,533.9,22815.4,33777.4,25828,4400.7,6.41,6.34,2,3792.9,3,2513.63,1
"ABB Ltd ","SWX","ABBN","Industrials",1883,"EU",106380,"A-","A-","Public Company",1893.1,28.86,60636.4,28945,9317,4364,3577,4275,4159,4940,40260,6591,15957,2.19,1.59,14,4996.9,10,4132.77,13
"Consolidated Edison, Inc. ","NYSE","ED","Utilities",1823,"US/CA",13871,"A-","A-","Public Company",354.6,99.46,60597.7,13676,7738,4694,2594,1619,992,49407,63116,25422,20336,4.58,4.57,15,5272.2,10,2939.57,11
"BASF SE ","XTRA","BAS","Materials",1865,"EU",110725,"A","A","Public Company",898.2,41.88,60532.9,89387,22119,12438.8,8573.1,5709.8,2984.2,20324.1,99377.9,21762.8,47857.4,6.25,3.84,17,10376.7,21,5246.75,21
"Nissan Motor Co., Ltd. ","TSE","7201","Consumer Discretionary",1933,"APAC",134111,"BBB-","BBB-","Public Company",3914.3,3.92,60457.4,69375.8,10026,3969.4,1740.6,1090,11054.4,18943.7,134817.9,58734.2,41418.3,0.278,0.557,20,5028,8,2973.44,19
"Realty Income Corporation ","NYSE","O","Real Estate",1969,"US/CA",380,"A-","A-","Public Investment Firm",617.6,71.02,60222.6,2081.6,2610.2,2572.5,1143.8,561.6,258.6,32819.9,43137.5,16019,25129.4,1.07,1.39,8,3204.7,9,1616.89,4
"Suncor Energy Inc. ","TSX","SU","Energy",1917,"US/CA",16922,"BBB+","BBB+","Public Company",1364.7,34.84,59683.1,30922.4,24261.5,15003.3,10443.7,7278.4,1742.4,53554,66171.2,14503.5,28932.7,5.05,6.99,10,16218.2,8,11559.71,4
"Constellation Brands, Inc. ","NYSE","STZ","Consumer Staples",1945,"US/CA",10000,"BBB","BBB","Public Company",182.5,257.73,59415.3,8820.7,4844.9,3430.9,3071.8,1257.2,199.4,6538.5,25855.8,10954.2,12047.8,6.64,11.3,21,3538.3,8,3117.83,16
"Fast Retailing Co., Ltd. ","TSE","9983","Consumer Discretionary",1949,"APAC",55589,"A","A","Public Company",102.2,621.26,59324.1,19395.2,8887.6,2521.6,2272.3,1993,10709.1,5080.4,22823.2,7668.1,10568.7,19.5,15.9,13,3672.5,10,2506.29,13
"SK hynix Inc. ","KOSE","A000660","Information Technology",1949,"APAC",29711,"BBB-","BBB-","Public Company",687.6,71.23,59248.7,36097.4,18243.2,20955.1,11919.8,8858.9,4246.3,45864.2,80918.2,16077,52210.5,12.9,8.5,28,16804,32,7739,31
"Eni S.p.A. ","BIT","ENI","Energy",1953,"EU",32562,"A-","A-","Public Company",3504.1,12.46,59134.2,88324.8,32088.6,26624.5,21577.5,12665.7,9387,69509.8,156675.8,37678.8,50630,3.54,3.11,20,26900.2,19,19277.63,19
"Edwards Lifesciences Corporation ","NYSE","EW","Health Care",1958,"US/CA",15700,"BBB","BBB","Public Company",619.9,96.65,59084.5,5232.5,4165.1,1782.3,1646.9,1455.4,862.8,1638.7,8502.6,690.3,5835.9,2.34,2.64,22,2041,17,1905.49,21
"Republic Services, Inc. ","NYSE","RSG","Industrials",1996,"US/CA",35000,"BBB+","BBB+","Public Company",315.9,147.56,58796.8,11295,4980.4,3596.6,2303.2,1387.3,29,9487.4,24955,9882.3,8979.7,4.37,4.89,16,4088.3,16,2570.72,15
"Longfor Group Holdings Limited ","SEHK","960","Real Estate",1993,"APAC",44065,"BBB","BBB","Public Company",6281.2,3.4,58487,35162.8,8943,6696.9,6627.3,3569.7,13869,841.5,137841.4,35966.7,34927.1,0.605,0.592,20,7001.7,12,6818.99,17
"Thomson Reuters Corporation ","TSX","TRI","Industrials",1851,"US/CA",24400,"BBB","BBB","Public Company",483.4,113.5,58278.2,6348,2324,1717,1524,477,778,502,22149,4047,13834,0.972,2.77,16,2535.4,14,1873.33,5
"Freeport-McMoRan Inc. ","NYSE","FCX","Materials",1987,"US/CA",24700,"BB+","BB+","Public Company",1429.3,33.23,58252.7,22845,11848,11479,9171,4872,8068,30345,48022,9769,23019,3.33,2.17,17,9844.6,15,6250.1,7
"Valero Energy Corporation ","NYSE","VLO","Energy",1980,"US/CA",9794,"BBB","BBB","Public Company",394,123.36,57852.2,108332,13327,12400,10001,7070,4122,32131,57888,15125,19817,17.3,19.4,15,12395.4,13,10150.91,9
"General Mills, Inc. ","NYSE","GIS","Consumer Staples",1866,"US/CA",32500,"BBB","BBB","Public Company",595.7,77.9,57807.6,18992.8,6405.5,3964.6,3394.3,2707.3,569.4,3730.6,31090.1,11975.4,10788,4.46,4,18,3806,13,3211.4,15
"Ecolab Inc. ","NYSE","ECL","Materials",1923,"US/CA",47000,"A-","A-","Public Company",285,170.94,57803.4,12733.1,5313.6,2727.7,1835.8,1105.7,359.9,3685.3,21206.4,9155.9,7253.1,3.86,5.32,21,3067.7,18,2063.21,19
"Pernod Ricard SA ","ENXTPA","RI","Consumer Staples",1805,"EU",18306,"BBB+","BBB+","Public Company",259.6,190.6,57668.4,10462.4,6723.5,3415.2,3198,1966.3,2463.8,3758.6,38116,11376.6,17874.1,7.55,8.59,22,3600.5,19,3189.82,22
"KLA Corporation ","NasdaqGS","KLAC","Information Technology",1975,"US/CA",14140,"A-","A-","Public Company",141.8,376.72,57484.4,9211.9,5619.4,4015,3651.6,3321.8,1584.9,976.4,12597.1,6774.3,1399.1,22.1,24.6,19,4601.6,7,4311.54,16
"CNOOC Limited ","SEHK","883","Energy",1999,"APAC",18887,"A+","A+","Public Company",47637.5,1.36,57408.4,38741.8,38526.7,31187.4,21638.8,16252.1,6522.1,74643.8,123818.4,21273.5,75870.7,0.359,0.387,8,35213.1,8,24738.8,6
"Jardine Matheson Holdings Limited ","SGX","J36","Industrials",1832,"LATAM",400000,"A+","A+","Public Company",289.4,51.83,56752.4,35862,9107,5494,4335,1881,7282,43804,91489,20492,58368,6.01,5.73,5,4740.6,5,3188.1,5
"Saudi Electricity Company ","SASE","5110","Utilities",2000,"AFME",33957,"A-","A-","Public Company",4166.6,7.03,56737.7,18469,5420.5,10002,4805.3,3702.6,1663,116878,126490.4,29178.4,67022.8,0.399,0.877,1,10312.2,1,4902.22,1
"Phillips 66 ","NYSE","PSX","Energy",1875,"US/CA",14000,"BBB+","BBB+","Public Company",481.1,93.81,56648.4,111476,14644,7176,5664,5424,3147,23485,55594,15516,21637,11.9,12.3,15,9735.1,9,7866.22,4
"China Overseas Land & Investment Limited ","SEHK","688","Real Estate",1979,"APAC",5692,"BBB+","BBB+","Public Company",10944.9,2.72,56088.8,38132.5,7550.4,6471.4,6461.6,5391.6,20442.2,869.6,136937.1,39697.9,56214.2,0.493,0.473,22,7722.7,18,7454.74,24
"Seven & i Holdings Co., Ltd. ","TSE","3382","Consumer Staples",2005,"APAC",83635,"A","A","Public Company",883.1,41.73,55327.4,75903.9,22589.3,6377.4,3207.3,1810,12324.1,28040.6,75813.1,25146.4,27306.5,2.05,2.17,12,6777.2,7,3471.67,11
"IQVIA Holdings Inc. ","NYSE","IQV","Health Care",1982,"US/CA",83000,"BB+","BB+","Public Company",186.5,234.73,55313,13874,4865,2676,1764,1160,1366,903,24689,12788,6042,6.1,10.6,19,3498.4,13,2976.93,7
"NXP Semiconductors N.V. ","NasdaqGS","NXPI","Information Technology",2006,"EU",31000,"BBB","BBB","Public Company",262.6,179.02,54879.4,11063,6946,4552,3318,2448,2830,2438,20864,10832,6770,9.25,14,22,5548.6,11,4808.54,19
"The Kroger Co. ","NYSE","KR","Consumer Staples",1883,"US/CA",420000,"BBB","BBB","Public Company",715.6,49.32,54642.4,137888,31630,7239,4327,2179,1821,30484,49086,20440,9429,2.93,3.87,23,7208.2,21,4213.58,21
"Sysco Corporation ","NYSE","SYY","Consumer Staples",1969,"US/CA",71000,"BBB","BBB","Public Company",508.6,86.39,54496.2,68636.1,12320.5,3558.4,2785.5,1358.8,867.1,5179.7,22126.2,11389.6,1414.2,2.66,4.19,16,4078.8,12,3263.26,11
"Digital Realty Trust, Inc. ","NYSE","DLR","Real Estate",2004,"US/CA",3030,"BBB","BBB","Public Investment Firm",287.4,128.49,53807,4426.2,2760.1,2203.5,693.6,1338.8,142.7,22034,36369.6,15179,18523.8,4.57,1.53,15,2595.1,16,855.87,16
"Kimberly-Clark Corporation ","NYSE","KMB","Consumer Staples",1872,"US/CA",45000,"A","A","Public Company",337.6,132.89,53693.6,19440,6072,3456,2706,1786,270,8585,17837,9123,737,5.3,6.09,16,3637.5,11,2897.45,13
"Dassault Systèmes SE ","ENXTPA","DSY","Information Technology",1981,"EU",21000,"A","A","Public Company",1313.9,40.37,53543.7,5527.2,4594.6,1346.7,1266.7,841.4,3388.5,929.1,16170.5,5084.5,7063.6,0.649,1.14,20,2169.6,10,1948.16,15
"Regeneron Pharmaceuticals, Inc. ","NasdaqGS","REGN","Health Care",1988,"US/CA",10715,"BBB+","BBB+","Public Company",106.9,603.8,53269.6,16071.7,8999.9,7376.8,7080.4,5686.8,2885.6,3482.2,25434.8,2699.7,18768.8,53.3,40.5,22,6185.8,4,5395.63,15
"ORIX Corporation ","TSE","8591","Financials",1950,"APAC",32235,"A-","A-","Public Company",1189.1,16.83,53249.4,20755,6918.2,5234.1,2799.5,2272.3,7862.9,7493.9,117517.9,42473.8,27763.2,1.9,2.01,9,4137.8,2,2836.88,7
"Alimentation Couche-Tard Inc. ","TSX","ATD","Consumer Staples",1980,"US/CA",122000,"BBB","BBB","Public Company",1022.1,45.06,53248.9,62809.9,11004.8,4564.7,3621.7,2683.3,2143.9,14588.4,29591.6,9474,12437.6,2.53,2.63,14,5098.5,15,3544.06,9
"L3Harris Technologies, Inc. ","NYSE","LHX","Industrials",1895,"US/CA",47000,"BBB","BBB","Public Company",191.4,238.44,53112.2,17814,5076,3517,2569,1911,941,2870,34709,7938,19319,9.8,13.9,14,3874.3,10,3367.4,6
"Welltower Inc. ","NYSE","WELL","Real Estate",1970,"US/CA",464,"BBB+","BBB+","Public Investment Firm",463.4,78.84,52971,4742.1,42336.9,42215.6,41030.7,390,269.3,30590.6,34910.3,14716.2,18997.9,0.883,0.92,11,2348,13,1056.78,3
"The Hershey Company ","NYSE","HSY","Consumer Staples",1894,"US/CA",17805,"A","A","Public Company",205,233.36,52838.6,8971.3,4319.9,2561.7,2215.8,1629.5,329.3,2937.9,10412.2,5376.1,2757.2,7.91,8.56,19,2702.3,14,2358.06,16
"A.P. Møller - Mærsk A/S ","CPSE","MAERSK B","Industrials",1904,"EU",95000,"BBB+","BBB+","Public Company",18.2,2550.53,52545.2,61787,38325,32382,28955,26901,11832,37209,72271,15335,45588,1438.3,1137.9,13,29602.4,18,21766.19,13
"Anglo American plc ","LSE","AAL","Materials",1917,"EU",106000,"BBB","BBB","Public Company",1214.1,34.5,52522.6,41554,24539,15765,13541,7054,9066,39501,65985,12933,34770,5.76,5.35,21,15946.5,20,12780.65,17
"Atlas Copco AB ","OM","ATCO A","Industrials",1873,"EU",45130,"A+","A+","Public Company",4866,10.78,52449.9,12266.1,4931.6,2907,2531.6,1984.6,2100.2,1612.1,15116.2,2750.9,7479.9,0.407,0.464,17,3592.2,18,3002.23,20
"Midea Group Co., Ltd. ","SZSE","000333","Consumer Discretionary",1968,"APAC",165799,"A","A","Public Company",6869.1,7.63,52325.7,53715.6,12360.8,4835.1,3994,4618.8,11314.4,4382.6,61068.9,8780,21223.6,0.678,0.682,24,5469.2,18,4847.55,22
"Devon Energy Corporation ","NYSE","DVN","Energy",1971,"US/CA",1600,"BBB","BBB","Public Company",654.8,73.72,51853.9,13117,10426,8915,6706,5265,2099,15243,21025,6760,9399,7.89,9.6,13,10763.1,8,8901.73,10
"Fresenius SE & Co. KGaA ","XTRA","FRE","Health Care",1912,"EU",318647,"BBB","BBB","Public Company",563.2,25.07,51603.6,42670.3,10894.8,5580.2,3825,1785.5,3143.4,21133.9,81840.1,30882.5,33308.3,3.19,3.43,10,7006.3,9,4301.92,7
"Woodside Energy Group Ltd ","ASX","WDS","Energy",1954,"APAC",3684,"BBB+","BBB+","Public Company",1898.7,25.03,51593.7,6962,3117,4124,3325,1983,3025,20343,26474,6797,14229,2.06,3.22,13,11383.9,11,8620.89,12
"Zijin Mining Group Company Limited ","SEHK","2899","Materials",1986,"APAC",43876,"BBB-","BBB-","Public Company",26329.3,1.2,51436.7,35434.7,6193.9,5782.6,4514.5,3232.3,2238.7,12125.3,32836.1,12411.1,14623.5,0.122,0.123,11,6485.4,13,5245.28,17
"Hon Hai Precision Industry Co., Ltd. ","TWSE","2317","Information Technology",1974,"APAC",826608,"A-","A-","Public Company",13861.5,3.65,51190,216294.7,12899.8,7880.8,5710.4,4843.5,38228.2,12642.7,141048.5,32858.7,56769.8,0.349,0.37,9,9224.5,13,6084.25,2
"Entergy Corporation ","NYSE","ETR","Utilities",1913,"US/CA",12369,"BBB+","BBB+","Public Company",203.4,119.38,50881.9,11742.9,5129.2,3589.3,1629.2,1226,442.6,42601.7,59454.2,27366.2,11924.8,6.06,6.71,16,4349.2,7,2444.77,12
"Central Japan Railway Company ","TSE","9022","Industrials",1987,"APAC",30323,"A+","A+","Public Company",196.8,117.19,50724.8,7700.8,2004.4,2351.3,813.6,173,2731.1,44531.7,77824.3,36611.7,29721.9,0.879,7.94,12,4505.9,10,2797.39,12
"Rogers Communications Inc. ","TSX","RCI.B","Communication Services",1960,"US/CA",23000,"BBB+","BBB+","Public Company",504.9,44.96,50378.1,11580.5,4854.6,4649.7,2843.8,1316.7,565,11589.2,33159.5,18052.3,8322.5,2.61,2.92,14,5108.9,13,2981.02,5
"Ørsted A/S ","CPSE","ORSTED","Utilities",1972,"EU",7292,"BBB+","BBB+","Public Company",420.2,105.88,50297.5,11880.6,4226.1,3024.6,1921.7,1376.4,1520.8,24686.6,41357.1,8952.1,13022.3,3.12,4,14,3587.1,21,2368.75,21
"Amphenol Corporation ","NYSE","APH","Information Technology",1932,"US/CA",90000,"BBB+","BBB+","Public Company",594.8,78.37,50222.2,10876.3,3761.8,2809,2410.7,1789.7,1197.1,1420.2,14678.4,5050.9,6379.1,3,2.96,15,3021.1,9,2580.45,14
"Recruit Holdings Co., Ltd. ","TSE","6098","Industrials",1960,"APAC",51757,"A","A","Public Company",1609.3,33.69,50196,23648.3,13047,3798.9,2896.3,2233,5513.7,2146.2,19957.7,2235.2,11333.7,1.37,1.36,16,3945.6,12,2972.17,16
"Wanhua Chemical Group Co., Ltd. ","SHSE","600309","Materials",1978,"APAC",19692,"BBB","BBB","Public Company",3139.7,12.95,50041.8,22910,5246,5249.7,4088.3,3209.5,5386.5,15460.5,29957.7,13354.9,11286,1.02,1.12,16,5497.2,11,4185.23,13
"TELUS Corporation ","TSX","T","Communication Services",1998,"US/CA",90800,"BBB+","BBB+","Public Company",1387,23.46,49939.6,13305.5,4835.2,3605.5,2277.9,1430.1,571.3,12584.8,37925.2,16641,12689.9,1.04,1.02,14,5268.9,13,2465.32,3
"Cadence Design Systems, Inc. ","NasdaqGS","CDNS","Information Technology",1987,"US/CA",9300,"BBB+","BBB+","Public Company",273.9,184.8,49929.6,2988.2,2946.4,1134.1,995.9,775.1,1088.9,436,4386.3,480,2740.7,2.84,4.08,11,1519.5,6,1394.38,11
"Johnson Controls International plc ","NYSE","JCI","Industrials",2014,"EU",101000,"BBB+","BBB+","Public Company",688.8,57.02,49702,23668,8239,3847,2996,1040,1336,4604,41890,9114,18753,1.48,3.45,21,4153,11,3223.67,15
"Roper Technologies, Inc. ","NYSE","ROP","Information Technology",1981,"US/CA",19300,"BBB+","BBB+","Public Company",106,424.62,49591.7,5777.8,4070.6,2299.5,1664.7,2866.6,351.5,323.8,23713.9,8154.1,11563.8,27.1,14.1,12,2167,8,1524.33,9
"Autodesk, Inc. ","NasdaqGS","ADSK","Information Technology",1982,"US/CA",12600,"BBB","BBB","Public Company",217.3,220.15,49306.5,4386.4,4346.4,999.1,916.6,558,1528.4,467,8606.8,3060,849.1,2.56,7.17,21,2031.2,5,1938.07,17
"China Railway Construction Corporation Limited ","SHSE","601186","Industrials",2007,"APAC",267760,"A-","A-","Public Company",13579.5,1.06,49257.4,160565.8,15707.1,8846.7,6233.8,3991.6,19963.7,12018.5,212978.9,37140.4,54543.5,0.263,0.305,11,9542.2,12,6364.47,12
"MercadoLibre, Inc. ","NasdaqGS","MELI","Consumer Discretionary",1999,"LATAM",29957,"BB+","BB+","Public Company",50.3,919.18,49011.9,7069.4,4586.1,888.3,585.4,237.3,2584.6,1268.5,10101.2,3982.6,1531.7,4.74,10.3,14,1264.4,21,777.65,22
"WEC Energy Group, Inc. ","NYSE","WEC","Utilities",1896,"US/CA",6938,"A-","A-","Public Company",315.4,106.22,49002.1,8316,3184.9,3054.2,1949.8,1367.6,16.3,27001.9,38988.5,15622.9,11113.3,4.34,4.31,14,3293.2,6,1982.91,7
"Sun Hung Kai Properties Limited ","SEHK","16","Real Estate",1972,"APAC",38500,"A+","A+","Public Company",2897.8,11.99,48709.8,10979.2,5151.2,4499.9,4176.7,3628.5,2787.4,5526.9,102554.8,15287.2,77213.8,1.25,1.34,12,5257.8,7,4750.82,12
"Country Garden Holdings Company Limited ","SEHK","2007","Real Estate",1992,"APAC",150353,"BB+","BB+","Public Company",24105.6,0.335,48653,82338.6,14605.4,9775.7,9490,4218.3,23132.9,5050.5,306703.6,50154.9,47323.5,0.192,0.149,17,8843.1,9,7959.25,14
"Parker-Hannifin Corporation ","NYSE","PH","Industrials",1917,"US/CA",55090,"BBB+","BBB+","Public Company",128.4,292.38,48607.2,15861.6,4483.3,3478,2906.2,1315.6,535.8,2256.2,25943.9,11616.5,8859.9,10.2,18.6,15,3664.3,8,3012.86,5
"Atlantia SpA ","BIT","ATL","Industrials",1950,"EU",20000,"BB+","BB+","Public Company",818.8,22.7,48557.7,7159.1,4296.5,4351.9,1616.1,6817.9,6883.9,736.9,90827.9,41751.4,18275.9,8.33,0.567,4,4417.4,5,1780.66,2
"Ecopetrol S.A. ","BVC","ECOPETROL","Energy",1948,"LATAM",18378,"BB+","BB+","Public Company",41116.7,0.558,48286,22585.2,13876.8,14700.5,12037,6203.8,3576.5,31090.7,59590.6,23366.8,22266.3,0.151,0.224,2,15262,8,16471.81,9
"Mitsui Fudosan Co., Ltd. ","TSE","8801","Real Estate",1941,"APAC",24408,"A","A","Public Company",950.8,20.73,47605,17300.5,3657.7,2956.8,2111.8,1438.8,1205,31637.1,67592.4,30199.4,23994.5,1.5,1.72,13,3105.3,11,2405.63,13
"AB Volvo (publ) ","OM","VOLV B","Industrials",1915,"EU",85329,"A-","A-","Public Company",2033.5,16.38,46940.2,41164.6,9002.6,4536.8,4043.4,3173.8,6870.7,10431.8,57050.3,17012.7,15938.5,1.56,1.81,16,6441.6,15,5106.27,14
"Global Payments Inc. ","NYSE","GPN","Information Technology",1967,"US/CA",25000,"BBB-","BBB-","Public Company",277.2,129.87,46916.3,8523.8,5040.1,3592.3,1892.2,76.9,1979.3,2181.7,45279.7,12660.6,25869.4,0.27,10.2,28,4141.5,19,3704.45,24
"Cintas Corporation ","NasdaqGS","CTAS","Industrials",1968,"US/CA",43000,"A-","A-","Public Company",101.2,433.33,46787.4,7854.5,3632.2,1881.3,1592.5,1235.8,90.5,1377.4,8147.3,3030,3308.2,11.9,12.2,15,2120.4,12,1696.7,13
"Ambev S.A. ","BOVESPA","ABEV3","Consumer Staples",1885,"LATAM",53000,"BBB","BBB","Public Company",15741.6,3.09,46582.8,13075.8,7339.4,3641,3339.6,2588.8,2984.3,5245.1,24876.2,562,15079.4,0.164,0.158,7,4899.3,13,3446.13,10
"Arthur J. Gallagher & Co. ","NYSE","AJG","Financials",1927,"US/CA",2200,"BBB","BBB","Public Company",210.3,191.08,46482.5,7974.4,3397.2,2255.5,1695.2,1057.4,402.6,859.4,33345,6688.4,8560.1,5.07,8.21,14,2839.4,10,2670.05,3
"Cenovus Energy Inc. ","TSX","CVE","Energy",2009,"US/CA",5938,"BBB-","BBB-","Public Company",1931.1,19.65,46396.7,36631.7,11994.9,9505.1,6595.2,3260.7,2270.3,29202.1,42753.4,12185.8,18655.2,1.62,3.87,4,12515.8,8,7957.19,3
"NTPC Limited ","NSEI","NTPC","Utilities",1975,"APAC",15786,"BBB-","BBB-","Public Company",9696.7,2.04,46093.4,17481.8,7500.7,5354.1,3554.2,2176.8,96,41556.2,54884.4,27770.2,18333.7,0.225,0.233,15,5000.6,14,3447.83,5
"Adyen N.V. ","ENXTAM","ADYEN","Information Technology",2006,"EU",2575,"A-","A-","Public Company",31,1661.95,46085.5,6818.4,923.9,734.8,713.4,571.8,5249.7,228.6,6568.4,162.6,2058.9,18.6,23.6,20,980.4,24,919.24,24
"Hapag-Lloyd Aktiengesellschaft ","XTRA","HLAG","Industrials",1847,"EU",14321,"BB+","BB+","Public Company",175.8,286.03,46004.5,25330.9,18466.7,17099.5,16173.1,15682,8783.6,12945.4,30381.6,6251.8,18380.5,89.2,65.1,7,12973.5,10,11486.42,8
"Hess Corporation ","NYSE","HES","Energy",1920,"US/CA",1545,"BBB-","BBB-","Public Company",308,124.65,45951.1,7301,6326,4757,3262,1464,2713,14678,20515,9141,7026,4.74,10.8,20,7491.5,7,5657.77,6
"TE Connectivity Ltd. ","NYSE","TEL","Information Technology",2000,"EU",89000,"A-","A-","Public Company",319.8,132.41,45834.9,14923,5174,3702,2926,2514,1203,4222,21462,4633,10748,7.74,7.59,17,3850.8,11,3062.98,15
"Danone S.A. ","ENXTPA","BN","Consumer Staples",1899,"EU",98105,"BBB+","BBB+","Public Company",639.4,53.21,45703.1,27614,12601.9,4795.1,3551.1,1665.3,749.5,7782.3,51654.7,18862.7,19760,2.56,3.43,23,4517.3,19,3397.45,18
"DENSO Corporation ","TSE","6902","Consumer Discretionary",1949,"APAC",167950,"A+","A+","Public Company",763.4,56.64,45670.4,45419.8,5619.1,4865.1,2291.9,1666.3,7146.3,16124,61204.2,8624.9,36970.9,2.17,4.04,17,6559.7,12,4143.54,16
"Baxter International Inc. ","NYSE","BAX","Health Care",1931,"US/CA",60000,"BBB","BBB","Public Company",503.6,59.92,45524.4,12784,5850,3254,2068,1011,2951,5808,33521,18310,9121,2.02,3.58,13,3624.8,7,2679.45,9
"DTE Energy Company ","NYSE","DTE","Utilities",1903,"US/CA",10400,"BBB+","BBB+","Public Company",193.7,134.79,45229.7,14964,3414,2602,1531,762,28,27041,39719,18251,8713,3.94,5.91,18,3240.4,12,1870.57,12
"Fortis Inc. ","TSX","FTS","Utilities",1885,"US/CA",9100,"A-","A-","Public Company",478.7,45.83,45141,7465.9,3200.2,3255.3,2022.4,1024.8,103.5,29914.1,45562.6,20513,16528,2.06,2.24,15,3596.8,13,2366.18,5
"Holcim Ltd ","SWX","HOLN","Materials",1833,"EU",70000,"BBB+","BBB+","Public Company",608,45.65,45060.5,29435.8,12734.6,6209.2,4435.1,2739.6,7329.9,26810.8,65691.5,18544.1,33427.7,4.48,4.7,16,7213.7,14,5003.95,13
"Corteva, Inc. ","NYSE","CTVA","Materials",2018,"US/CA",21000,"A-","A-","Public Company",718.6,63.24,45024.3,15655,6866,3790,2555,1722,4459,4787,42344,1576,25623,2.37,2.82,23,3214.5,16,2740.52,6
"Delta Air Lines, Inc. ","NYSE","DAL","Industrials",1924,"US/CA",83000,"BB","BB","Public Company",638.3,33.99,44595.4,29899,6827,3436,1716,600,7933,35133,72459,35779,3887,0.942,4.78,19,6287.6,8,4296.26,14
"FirstEnergy Corp. ","NYSE","FE","Utilities",1996,"US/CA",12400,"BBB-","BBB-","Public Company",571.4,40.93,44481.2,10943,7739,3724,2222,1365,1462,35023,45432,24164,8675,2.44,2.48,17,3150.3,11,2266.77,9
"Southern Copper Corporation ","NYSE","SCCO","Materials",1952,"US/CA",14700,"BBB+","BBB+","Public Company",773.1,50.63,44278.9,10934.1,6414.3,6132.5,5316.9,2917.6,3002,10380.7,18297.6,7463.9,8207.8,3.77,2.83,8,5229.3,6,3682.51,5
"Fortescue Metals Group Limited ","ASX","FMG","Materials",1983,"APAC",10232,"BB+","BB+","Public Company",3076.7,13.84,44231.3,22284,13624,14357,13067,8988,6930,19387,28383,4252,17735,2.92,1.82,14,9557.2,15,8280.04,14
"Nucor Corporation ","NYSE","NUE","Materials",1958,"US/CA",28800,"A-","A-","Public Company",262,144.21,43998.2,36483.9,14513.4,13320.4,12375.7,9035,2364.9,8207.1,25823.1,5923.4,14603.8,32.5,20.8,9,9137.7,6,7676.44,7
"ONEOK, Inc. ","NYSE","OKE","Energy",1906,"US/CA",2847,"BBB","BBB","Public Company",446.9,66.65,43500.8,16540.3,4385.9,3265.8,2646.6,1576.9,146.4,19409.4,23621.6,13902.1,6015.2,3.53,4.12,15,3817,17,2918.46,6
"Naturgy Energy Group, S.A. ","BME","NTGY","Utilities",1843,"EU",7308,"BBB","BBB","Public Company",960.9,29.63,43494.2,25179.1,5967,3955.7,2844.4,1345.4,4509.3,20261.6,43499.4,19119.8,10091,1.4,1.36,1,4326.8,2,2599.96,6
"MGM Resorts International ","NYSE","MGM","Consumer Discretionary",1986,"US/CA",60500,"B+","B+","Public Company",393.1,35.22,43401.9,9454.1,5846.8,2185.9,954.6,3247.4,4703.1,25928.3,40899.1,24821.3,11124.3,7.08,0.812,5,3801.6,14,895.32,10
"EDP - Energias de Portugal, S.A. ","ENXTLS","EDP","Utilities",1976,"EU",12907,"BBB","BBB","Public Company",3947.1,5.15,43252,17039.6,5140.3,3009.5,1262.8,648,3664.7,25140.8,57994,20867.9,15896.2,0.164,0.24,15,4238.5,17,2560.82,18
"Koninklijke Ahold Delhaize N.V. ","ENXTAM","AD","Consumer Staples",1887,"EU",413000,"BBB","BBB","Public Company",993.2,27.86,43030.2,85978.6,22477.6,5435.8,3594.8,2397.5,3403.8,23709.8,51986.8,19434.8,15604.5,2.37,2.44,18,7069.9,17,3535.63,17
"Compass Group PLC ","LSE","CPG","Consumer Discretionary",1941,"EU",480000,"A","A","Public Company",1766.1,22.56,42894,24178.8,4951.8,1818,1435.4,964.9,2484.3,2152.2,20074.3,6050.1,6641.5,0.54,0.844,19,2988.3,20,2070.77,18
